Algorithm,Size,Average,Min,Max,Standard Deviation
Insertion,10000,28.12,27,53,2.606441127962678
Insertion,20000,113.5,111,122,1.5008415147927021
Insertion,40000,465.04,449,676,35.503569318357755
Insertion,80000,1779.89,1756,1941,31.643817913159786
Insertion,160000,7071.12,6921,7757,170.9270196914638
Heap,10000,1.0,1,1,0.0
Heap,20000,2.0,2,2,0.0
Heap,40000,5.0,5,5,0.0
Heap,80000,11.0,11,11,0.0
Heap,160000,24.13,24,25,0.3379976689896311
Shell,10000,0.02,0,1,0.14070529413628965
Shell,20000,1.98,1,2,0.14070529413628965
Shell,40000,4.0,4,4,0.0
Shell,80000,11.0,11,11,0.0
Shell,160000,29.3,29,31,0.48199920365414745
Quick,10000,0.0,0,0,0.0
Quick,20000,1.0,1,1,0.0
Quick,40000,3.0,3,3,0.0
Quick,80000,6.37,6,7,0.4852365870939097
Quick,160000,14.07,14,15,0.2564323999762428
Drunk_10,10000,11.03,11,13,0.22270150335361366
Drunk_30,10000,22.02,22,24,0.19999999999999998
Drunk_50,10000,33.07,33,34,0.25643239997624284
Drunk_70,10000,43.85,43,45,0.3859920970562725
Drunk_90,10000,54.08,54,55,0.2726599243442907
Drunk_10,20000,23.74,23,24,0.44084400227680814
Drunk_30,20000,47.88,47,48,0.32659863237109044
Drunk_50,20000,71.86,71,74,0.6198729097503973
Drunk_70,20000,94.29,94,95,0.4560480215720687
Drunk_90,20000,116.7,116,119,0.5773502691896257
Drunk_10,40000,51.08,50,53,0.3387439663632029
Drunk_30,40000,102.45,102,104,0.5388914922357194
Drunk_50,40000,153.61,153,157,0.6947857747012908
Drunk_70,40000,202.1,201,208,0.834847109936722
Drunk_90,40000,250.12,249,253,0.8793937305515279
Drunk_10,80000,109.54,108,145,3.608127749759681
Drunk_30,80000,219.89,219,227,1.3550876821308009
Drunk_50,80000,328.05,326,333,1.104398917826783
Drunk_70,80000,435.55,429,573,16.171039708457997
Drunk_90,80000,538.5,531,580,10.044848923651859
Drunk_10,160000,232.95,232,236,0.7159792333764035
Drunk_30,160000,468.17,466,477,1.5311908615667265
Drunk_50,160000,697.39,694,718,2.542149730547997
Drunk_70,160000,914.38,909,939,4.446721638840612
Drunk_90,160000,1130.46,1125,1155,4.8771162202948
