Algorithm,Distribution,Average,Min,Max,Standard Deviation
Insertion,random,706.1,699,899,19.853249485953558
Insertion,ascending,0.0,0,0,0.0
Insertion,descending,1386.25,1380,1423,5.05999361200539
Insertion,33,622.62,619,641,2.299670595647309
Insertion,66,397.04,395,401,1.0533256616521547
Heap,random,6.07,6,7,0.2564323999762428
Heap,ascending,4.2,4,6,0.42640143271122083
Heap,descending,4.1,4,5,0.30151134457776363
Heap,33,6.05,6,8,0.29729419500528154
Heap,66,5.12,5,6,0.32659863237109044
Shell,random,6.0,6,6,0.0
Shell,ascending,0.0,0,0,0.0
Shell,descending,3.01,3,4,0.09999999999999999
Shell,33,5.02,5,6,0.14070529413628968
Shell,66,5.0,5,5,0.0
Quick,random,4.0,4,4,0.0
Quick,ascending,1.91,1,2,0.2876234912646614
Quick,descending,2.0,2,2,0.0
Quick,33,3.11,3,4,0.31446603773522014
Quick,66,3.0,3,3,0.0
Drunk,random,196.39,195,200,0.8633385983225442
Drunk,ascending,205.2,198,235,7.366317008018747
Drunk,descending,194.77,193,203,2.0930621325964243
Drunk,33,197.24,196,201,1.055241845993303
Drunk,66,199.77,199,210,1.4692470414082406
