Algorithm,Size,Average,Min,Max,Standard Deviation
Insertion,10000,28.03,27,45,2.185604878945114
Insertion,20000,113.59,112,128,2.2789994260285336
Insertion,40000,452.51,449,456,1.5537182511769643
Insertion,80000,1782.6,1756,1950,37.38902772123653
Insertion,160000,7015.37,6929,7888,114.53010322816681
Heap,10000,1.0,1,1,0.0
Heap,20000,2.02,2,4,0.19999999999999998
Heap,40000,5.0,5,5,0.0
Heap,80000,11.01,11,12,0.09999999999999999
Heap,160000,24.54,24,29,0.9365744589575978
Shell,10000,0.32,0,2,0.5482755334738735
Shell,20000,2.04,2,3,0.1969463855669324
Shell,40000,4.0,4,4,0.0
Shell,80000,11.0,11,11,0.0
Shell,160000,29.34,29,37,0.9014018263378728
Quick,10000,0.0,0,0,0.0
Quick,20000,1.0,1,1,0.0
Quick,40000,3.09,3,7,0.4943110704237103
Quick,80000,6.05,6,7,0.2190429135575903
Quick,160000,13.76,13,20,0.9002805398902335
Drunk_10,10000,11.0,11,11,0.0
Drunk_30,10000,22.76,22,35,2.2252908106400815
Drunk_50,10000,33.36,33,36,0.6744994402884964
Drunk_70,10000,44.67,43,59,1.6760644137955794
Drunk_90,10000,55.05,54,60,1.1666666666666667
Drunk_10,20000,25.31,23,34,2.3557151651661834
Drunk_30,20000,50.17,47,71,3.8508952127257294
Drunk_50,20000,71.92,71,75,0.6143075267109604
Drunk_70,20000,95.59,94,116,3.0751365248496927
Drunk_90,20000,117.56,116,130,1.9711043922767069
Drunk_10,40000,52.65,51,73,3.4884368876607064
Drunk_30,40000,104.71,102,114,2.180237221825722
Drunk_50,40000,173.65,153,463,55.61145420130496
Drunk_70,40000,208.42,201,241,8.718006444344738
Drunk_90,40000,255.41,249,363,14.087816213188106
Drunk_10,80000,110.57,108,144,4.725291931551302
Drunk_30,80000,223.92,219,304,12.879927222330306
Drunk_50,80000,334.28,327,407,12.577902701310594
Drunk_70,80000,431.68,429,447,2.8100828558186066
Drunk_90,80000,532.7,530,539,1.6174552903130326
Drunk_10,160000,233.07,232,252,2.0462086152124614
Drunk_30,160000,468.4,466,507,4.141438777950866
Drunk_50,160000,737.75,697,1557,143.925371725289
Drunk_70,160000,919.6,912,989,12.641122568742848
Drunk_90,160000,1137.75,1129,1393,26.42480278110325
