Algorithm,Distribution,Average,Min,Max,Standard Deviation
Insertion,random,704.11,697,923,24.185685306341302
Insertion,ascending,0.0,0,0,0.0
Insertion,descending,1394.11,1380,1456,12.837677344284659
Insertion,33,624.77,620,682,6.438292954006999
Insertion,66,393.55,392,429,3.691034729413607
Heap,random,6.1,6,7,0.30151134457776363
Heap,ascending,4.76,4,8,0.6834257143762642
Heap,descending,4.1,4,5,0.30151134457776363
Heap,33,6.02,6,8,0.19999999999999998
Heap,66,5.04,5,6,0.19694638556693236
Shell,random,6.0,6,6,0.0
Shell,ascending,0.0,0,0,0.0
Shell,descending,3.0,3,3,0.0
Shell,33,5.02,5,6,0.14070529413628968
Shell,66,5.04,5,7,0.2428783625395621
Quick,random,3.24,3,5,0.45215533220835125
Quick,ascending,2707.37,2651,3146,49.58426253267352
Quick,descending,1759.67,1737,1834,14.197065424469473
Quick,33,3.0,3,3,0.0
Quick,66,3.0,3,3,0.0
Drunk,random,198.19,195,296,13.080709059334264
Drunk,ascending,1374.05,193,116941,11673.523025451981
Drunk,descending,202.18,186,380,28.193193533478283
Drunk,33,197.35,195,234,3.8752647351731677
Drunk,66,199.8,199,205,1.1009637651263606
